op,dtype,rows,cols,version,ms,gbps,speedup_vs_torch,max_abs_err
softmax,fp32,1024,128,v0,0.05354,19.6,0.099,1.19e-07
softmax,fp32,1024,128,v1,0.0058,180.9,0.918,2.98e-08
softmax,fp32,1024,128,v2,0.0144,72.8,0.37,2.98e-08
softmax,fp32,1024,128,v3,0.0144,72.8,0.37,2.98e-08
softmax,fp32,1024,128,cudnn,0.00496,211.2,1.072,7.45e-09
softmax,fp32,1024,128,cub,0.01647,63.7,0.323,2.98e-08
softmax,fp32,2048,512,v0,0.18041,46.5,0.08,1.19e-07
softmax,fp32,2048,512,v1,0.01236,678.9,1.171,1.49e-08
softmax,fp32,2048,512,v2,0.03306,253.8,0.438,1.49e-08
softmax,fp32,2048,512,v3,0.0328,255.8,0.441,2.98e-08
softmax,fp32,2048,512,cudnn,0.01233,680.1,1.173,7.45e-09
softmax,fp32,2048,512,cub,0.04735,177.2,0.306,2.98e-08
softmax,fp32,512,2048,v0,0.73827,11.4,0.028,6.71e-08
softmax,fp32,512,2048,v1,0.0144,582.5,1.416,3.73e-09
softmax,fp32,512,2048,v2,0.02217,378.4,0.92,7.45e-09
softmax,fp32,512,2048,v3,0.02053,408.6,0.994,3.73e-09
softmax,fp32,512,2048,cudnn,0.02903,289.0,0.703,7.45e-09
softmax,fp32,512,2048,cub,0.01644,510.3,1.241,7.45e-09
softmax,fp32,256,4096,v0,1.47282,5.7,0.025,3.54e-08
softmax,fp32,256,4096,v1,0.01646,509.8,2.26,1.86e-09
softmax,fp32,256,4096,v2,0.03093,271.2,1.202,1.86e-09
softmax,fp32,256,4096,v3,0.02096,400.2,1.774,1.86e-09
softmax,fp32,256,4096,cudnn,0.0211,397.5,1.762,1.86e-09
softmax,fp32,256,4096,cub,0.01452,577.8,2.561,1.86e-09
softmax,fp32,64,16384,v0,3.39007,2.5,0.008,1.14e-08
softmax,fp32,64,16384,v1,0.03082,272.2,0.867,4.66e-10
softmax,fp32,64,16384,v2,0.039,215.1,0.685,4.66e-10
softmax,fp32,64,16384,v3,0.0333,251.9,0.802,6.98e-10
softmax,fp32,64,16384,cudnn,0.0226,371.2,1.182,2.33e-10
softmax,fp32,64,16384,cub,0.01641,511.1,1.627,4.66e-10
softmax,fp16,1024,128,v0,0.06184,8.5,0.088,1.53e-05
softmax,fp16,1024,128,v1,0.0057,92.0,0.954,3.05e-05
softmax,fp16,1024,128,v2,0.0144,36.4,0.377,3.05e-05
softmax,fp16,1024,128,v3,0.01531,34.3,0.355,3.05e-05
softmax,fp16,1024,128,cudnn,0.00492,106.6,1.105,7.63e-06
softmax,fp16,1024,128,cub,0.01724,30.4,0.315,3.05e-05
softmax,fp16,2048,512,v0,0.2358,17.8,0.07,3.05e-05
softmax,fp16,2048,512,v1,0.01236,339.5,1.333,1.53e-05
softmax,fp16,2048,512,v2,0.03422,122.6,0.481,3.81e-06
softmax,fp16,2048,512,v3,0.03282,127.8,0.502,3.81e-06
softmax,fp16,2048,512,cudnn,0.01235,339.7,1.334,1.53e-05
softmax,fp16,2048,512,cub,0.04757,88.2,0.346,1.53e-05
softmax,fp16,512,2048,v0,0.96585,4.3,0.032,3.81e-06
softmax,fp16,512,2048,v1,0.01238,338.7,2.488,1.91e-06
softmax,fp16,512,2048,v2,0.02631,159.4,1.171,1.91e-06
softmax,fp16,512,2048,v3,0.02105,199.3,1.464,1.91e-06
softmax,fp16,512,2048,cudnn,0.0226,185.6,1.363,7.63e-06
softmax,fp16,512,2048,cub,0.01644,255.2,1.874,1.91e-06
softmax,fp16,256,4096,v0,2.04529,2.1,0.018,3.81e-06
softmax,fp16,256,4096,v1,0.01435,292.3,2.619,9.54e-07
softmax,fp16,256,4096,v2,0.02259,185.7,1.664,1.91e-06
softmax,fp16,256,4096,v3,0.02063,203.3,1.822,1.91e-06
softmax,fp16,256,4096,cudnn,0.01956,214.5,1.922,3.81e-06
softmax,fp16,256,4096,cub,0.0142,295.3,2.646,9.54e-07
softmax,fp16,64,16384,v0,4.65561,0.9,0.006,4.77e-07
softmax,fp16,64,16384,v1,0.02471,169.7,1.134,2.38e-07
softmax,fp16,64,16384,v2,0.0418,100.3,0.671,2.38e-07
softmax,fp16,64,16384,v3,0.02968,141.3,0.945,4.77e-07
softmax,fp16,64,16384,cudnn,0.02477,169.3,1.132,1.91e-06
softmax,fp16,64,16384,cub,0.01439,291.4,1.948,2.38e-07
